id,gisjoin,dem_m,slope_deg,riverdist,roaddist,renters,total_pop,popden_sqk,area_sqkm,pecb5a65,medinc,dem_class,slope_class,soil_class,lulc_class,riverdist_class,road_class,renter_class,popden_class,b5a65_class,medinc_class,physical_comb,social_comb,both_indicator
86,G19011300024003,249,73.76,305.16,214.34,44.82,1722,1220,1.41,29.15,35714,1,2,2,2,3,1,3,3,3,5,2,3,2.3
87,G19011300025001,229.67,72.26,470.28,164.44,4.68,570,802,0.71,21.05,76343,1,3,2,2,2,1,1,2,2,3,2,1.8,1.94
88,G19011300025002,228.49,67.85,252.84,230.52,21.14,1231,1808,0.68,24.29,60469,1,4,2,2,4,1,2,4,3,4,2.6,2.8,2.66
89,G19011300025003,236.9,74.21,141.16,221.74,24.24,1432,1828,0.78,20.18,60625,1,2,2,2,5,1,2,4,2,4,2.4,2.6,2.46
90,G19011300026001,231.85,69.03,293.73,598.67,69.2,860,458,1.88,29.53,38176,1,4,2,2,3,4,4,1,3,4,2.4,3.2,2.64
91,G19011300026002,220.68,62.38,217.81,702.35,26.22,1241,1286,0.96,19.9,74228,1,4,2,2,4,4,2,3,2,3,2.6,2.8,2.66
92,G19011300027001,227.72,64.69,274.26,227.04,64.49,459,323,1.42,24.18,32750,1,4,1,2,4,1,4,1,3,5,2.4,2.8,2.52
93,G19011300027002,221.59,61.74,139,562.04,78.44,1443,1290,1.12,17.05,41484,1,5,1,2,5,4,1,3,2,4,2.8,2.8,2.8
94,G19011300028001,254.26,78.29,277.13,415.97,21.79,1365,1279,1.07,31.58,56705,1,1,2,2,4,3,2,3,3,4,2,3,2.3
95,G19011300028002,258.75,78.94,190.9,254.33,38.97,911,963,0.95,44.24,52969,1,1,2,2,5,1,3,2,4,4,2.2,2.8,2.38
96,G19011300028003,238.3,72.49,214.45,412.14,34.19,1972,205,9.63,13.49,70757,1,3,2,3,4,3,3,1,1,3,2.6,2.2,2.48
97,G19011300029001,226.48,70.34,157.95,378.16,19.38,1729,798,2.17,37.19,71446,1,3,2,2,5,2,2,2,4,3,2.6,2.6,2.6
98,G19011300029002,241.22,74.6,292.54,383.72,0,809,997,0.81,17.92,79093,1,2,2,2,3,2,1,2,2,3,2,2,2
99,G19011300029003,239.75,76.61,174.2,268.63,43.67,1176,1385,0.85,24.23,56689,1,2,2,2,5,1,3,3,3,4,2.4,2.8,2.52
100,G19011300029004,235.46,68.94,243.96,358.42,62.14,1276,305,4.19,13.48,31418,1,4,2,2,4,2,4,1,1,5,2.6,2.6,2.6
101,G19011300030031,247.66,72.02,205.11,425.27,39.13,1944,494,3.94,15.28,36223,1,3,2,2,4,3,3,1,1,5,2.4,2.6,2.46
102,G19011300030032,242.33,73.68,345.75,370.34,24.58,1894,164,11.57,19.59,106000,1,2,2,1,3,2,2,1,2,2,1.8,1.8,1.8
103,G19011300030033,245.41,79.87,189.49,358.12,0,691,70,9.87,21.42,141161,1,1,2,3,5,2,1,1,2,1,2.4,1.4,2.1
104,G19011300030041,231.96,70.86,296.24,320.93,45.39,249,14,18.35,28.51,98234,1,3,2,2,3,2,3,1,3,2,2.2,2.2,2.2
105,G19011300030042,250.3,76.41,396.68,345.47,15.05,1293,859,1.51,7.97,99543,1,2,2,2,3,2,2,2,1,2,2,1.8,1.94
106,G19011300030043,230.91,71.83,100.46,286.25,55.74,2870,1968,1.46,25.23,71250,1,3,2,2,5,2,4,4,3,3,2.6,3.2,2.78
107,G19011300030051,241.08,76.3,157.35,446.02,5.02,2676,1237,2.16,17,87701,1,2,2,2,5,3,1,3,2,3,2.4,2.4,2.4
108,G19011300030052,236.52,73.63,204.05,242.18,36.89,1198,250,4.79,26.29,101012,1,2,2,2,4,1,3,1,3,2,2.2,2,2.14
109,G19011300030053,246.36,73,166.66,196.67,12.82,1630,798,2.04,31.6,97882,1,2,2,2,5,1,1,2,3,2,2.4,1.8,2.22
110,G19011300030054,252.58,73.31,215.04,206.49,0,797,640,1.25,25.35,54904,1,2,2,2,4,1,1,2,3,4,2.2,2.2,2.2
111,G19011300030061,234.95,68.34,254.49,554.98,5.83,2139,308,6.96,23.7,138047,1,4,2,2,4,4,1,1,2,2,2.6,2,2.42
112,G19011300030062,244.93,75.64,225.28,137.73,53.26,1311,1054,1.24,8.16,59766,1,2,2,2,4,1,4,3,1,4,2.2,2.6,2.32
113,G19011300030063,252.25,72.43,244.46,237.74,2.3,1517,670,2.27,42.78,92625,1,3,2,2,4,1,1,2,4,3,2.4,2.2,2.34
